"f10","f15","b1","b2","b3","age","numkids","partner","selfempl","nonequity.wealth.cat","lincome","male","adv.lit.index","bsc.lit.index","edu1","edu2","edu3","edu4","edu5","edu6","retired","mkt.part"
"worse","intermediate or high","2","some","little","40s",0,"Ja",0,"3",9.7717619,"female",0.81512815,-0.14602637,0,0,0,1,0,0,0,0
"no sibling","intermediate or high","6","a lot","some",">60",0,"Ja",1,"3",9.923295,"male",0.53461498,0.79180282,0,0,0,1,0,0,1,0
"worse","intermediate or high","4","some","little",">60",0,"Ja",0,"3",10.183211,"male",0.48198789,0.49042296,0,0,1,0,0,0,1,1
"no sibling","dont know","5","little","little","40s",2,"Ja",0,"3",9.8339434,"male",-2.6692109,-0.67856038,0,0,1,0,0,0,0,0
"better","intermediate or high","4","some","some","50s",0,"Ja",0,"3",10.17424,"female",0.74599308,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","5","some","some","50s",0,"Ja",0,"4",10.68647,"female",-1.0590025,-0.37718052,0,0,1,0,0,0,0,0
"no sibling","low","5","hardly at all","some","30s",2,"Ja",0,"3",9.7406235,"female",-2.1116898,0.15866753,0,0,1,0,0,0,0,0
"better","intermediate or high","4","some","some",">60",0,"Ja",0,"3",9.894269,"male",0.48729089,-1.3116957,0,1,0,0,0,0,1,0
"better","dont know","5","hardly at all","hardly at all",">60",0,"Ja",0,"1",9.2539568,"male",-2.3921213,0.49042296,1,0,0,0,0,0,1,0
"better","intermediate or high","4","some","some",">60",0,"Ja",0,"1",9.3353519,"male",0.45606977,-0.14271231,0,0,0,1,0,0,1,0
"better","intermediate or high","5","some","some",">60",0,"Ja",0,"4",10.762234,"male",0.82730883,0.79180282,0,0,0,1,0,0,1,1
"worse","intermediate or high","5","some","hardly at all",">60",0,"Nee",0,"2",8.9808264,"male",-1.1661993,-0.77916163,1,0,0,0,0,0,1,0
"better","intermediate or high","3","hardly at all","little",">60",0,"Nee",0,"1",9.6887217,"male",-2.4173326,-4.6797991,0,1,0,0,0,0,1,0
"better","intermediate or high","5","some","a lot",">60",0,"Ja",0,"4",10.267215,"male",0.9449876,0.79180282,0,0,0,1,0,0,1,1
"no sibling","intermediate or high","4","hardly at all","little","50s",0,"Ja",0,"3",10.157416,"female",-2.4862831,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","4","little","little",">60",0,"Ja",0,"3",10.547885,"male",0.13038082,0.79180282,0,0,0,0,1,0,1,1
"better","intermediate or high","5","little","little","50s",0,"Ja",NA,NA,NA,"male",0.40035602,0.79180282,0,0,0,0,1,0,0,NA
"better","intermediate or high","5","little","some",">60",0,"Ja",0,"2",9.0667429,"male",0.52120435,-2.5763009,0,1,0,0,0,0,1,1
"better","intermediate or high","5","hardly at all","some",">60",0,"Nee",0,"1",9.3910322,"female",-0.084100239,0.49042296,0,0,1,0,0,0,1,0
"no sibling","low","Ik weet het niet","hardly at all","hardly at all","50s",2,"Ja",NA,NA,9.0001755,"male",-2.4173326,-4.6797991,1,0,0,0,0,0,0,NA
"no sibling","dont know","4","hardly at all","little",">60",1,"Nee",0,NA,9.5413141,"female",-2.3921213,-4.6797991,1,0,0,0,0,0,1,0
"better","intermediate or high","4","hardly at all","some","50s",0,"Nee",0,NA,9.574872,"female",-2.4862831,-0.14271231,0,1,0,0,0,0,0,0
"better","low","6","little","some",">60",0,"Ja",0,"1",10.105774,"female",-0.80824709,-1.3116957,0,0,0,0,1,0,1,0
"worse","intermediate or high","6","some","some",">60",0,"Ja",0,"3",10.095629,"male",0.80457455,0.49042296,0,0,0,0,1,0,1,1
"better","intermediate or high","6","little","a lot","50s",0,"Ja",NA,NA,11.147211,"male",0.60150468,0.49042296,0,0,0,0,0,1,0,NA
"better","intermediate or high","6","some","some","50s",0,"Ja",0,"3",10.772454,"female",0.29454812,-0.14602637,0,1,0,0,0,0,0,0
"no sibling","intermediate or high","6","little","some","50s",0,"Ja",0,"2",9.3398476,"male",-0.56941372,-0.37718052,1,0,0,0,0,0,0,0
"worse","intermediate or high","5","hardly at all","some",">60",0,"Ja",NA,NA,10.488419,"male",-0.25323445,0.79180282,0,0,0,0,0,1,0,NA
"better","intermediate or high","5","some","hardly at all",">60",0,"Ja",0,"4",10.231922,"male",0.79350573,-1.0805415,0,0,0,1,0,0,1,0
"worse","dont know","7 zeer goed","little","some",">60",0,"Ja",0,"4",9.5688982,"female",0.24497704,-0.77916163,0,1,0,0,0,0,0,0
"no sibling","intermediate or high","6","some","some","40s",2,"Ja",0,"4",10.344997,"female",-1.6017141,0.15866753,0,0,1,0,0,0,0,0
"better","intermediate or high","5","some","little",">60",0,"Ja",0,"3",10.193939,"male",0.80457455,0.79180282,0,0,0,1,0,0,1,0
"worse","intermediate or high","6","a lot","some",">60",0,"Ja",0,"4",10.386828,"male",0.73547161,0.79180282,0,0,0,0,1,0,1,0
"no sibling","dont know","3","little","little",">60",0,"Nee",0,"2",9.6254768,"female",0.16601601,0.15866753,0,0,0,0,1,0,1,0
"worse","intermediate or high","5","some","some","40s",2,"Ja",0,"3",10.49403,"male",0.77019387,0.49042296,0,0,1,0,0,0,0,0
"better","intermediate or high","4","some","some","40s",3,"Nee",0,"1",9.5601397,"female",-1.1149668,-0.14602637,0,0,0,1,0,0,0,0
"no sibling","dont know","5","little","some",">60",0,"Ja",0,"2",9.9592886,"male",-1.0796045,0.49042296,0,0,0,0,1,0,1,0
"better","dont know","6","a lot","some","40s",0,"Nee",0,"1",9.7954569,"male",-0.79072285,0.49042296,0,0,1,0,0,0,0,0
"better","intermediate or high","4","some","little","30s",0,"Nee",0,"3",9.6248865,"female",-0.32923776,-0.14271231,0,0,0,0,1,0,0,0
"worse","intermediate or high","4","some","some","50s",2,"Ja",0,"4",10.23391,"male",0.49004245,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","6","some","some",">60",0,"Ja",0,"4",9.9840765,"male",0.83358723,0.79180282,0,1,0,0,0,0,1,1
"better","intermediate or high","Ik weet het niet","little","some",">60",0,"Nee",0,"3",9.4709158,"female",0.50573695,-0.14602637,0,1,0,0,0,0,1,0
"no sibling","intermediate or high","6","little","a lot","50s",0,"Ja",0,"3",9.8292713,"male",0.53910041,0.49042296,0,1,0,0,0,0,0,1
"better","low","4","some","some","50s",2,"Ja",0,"2",10.301941,"male",1.0239724,-0.14271231,0,0,0,0,1,0,0,0
"worse","intermediate or high","7 zeer goed","a lot","some",">60",0,"Ja",0,"4",10.477405,"male",0.87911451,0.79180282,0,0,0,1,0,0,1,1
"worse","intermediate or high","7 zeer goed","a lot","a lot","40s",0,"Nee",0,"4",10.143618,"male",0.87408167,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","Ik weet het niet","some","some",">60",0,"Ja",0,"4",10.121858,"male",0.7183882,0.79180282,0,0,0,0,0,1,1,0
